"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Remote Cyber-Physical Patient Monitoring System Using Computer Vision Technologies","M. A. F. Rodrigues; E. F. Dutra; P. F. Linhares; P. J. Guedes; H. L. S. Da Rocha; R. C. Cavalcanti; P. H. G. Wanderley; N. D. C. Mendonça; M. De Sousa Zaranza","PPGIA - GIRA Lab, Universidade de Fortaleza, Fortaleza, CE, Brazil; PPGIA, Universidade de Fortaleza, Fortaleza, CE, Brazil; PPGIA, Universidade de Fortaleza, Fortaleza, CE, Brazil; CCT, Universidade de Fortaleza, Fortaleza, CE, Brazil; Lapin, Universidade de Fortaleza, Fortaleza, CE, Brazil; RC Cavalcanti RC Cavalcanti, Fortaleza, CE, Brazil; CCT, Universidade de Fortaleza, Fortaleza, CE, Brazil; PPGIA, Universidade de Fortaleza, Fortaleza, CE, Brazil; ICU, Instituto Dr. José Frota (IJF), Fortaleza, CE, Brazil",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","8","The recent rapid spread of infectious diseases has significantly strained healthcare systems globally, presenting risks to both patients and frontline healthcare workers. In such scenarios, critically ill individuals require hospitalization and treatment by specialized intensive care teams. With the support of increasingly intelligent, personalized, and assertive computing technologies, health professionals can reach hospitalized patients to make decisions, even when the disease involves a high risk of contamination. This work presents a new remote cyber-physical patient monitoring system using Computer Vision technologies for decision-making support of the health team mainly working in Intensive Care Units. The system can assist hospitalized patients by continuously and contactlessly monitoring their vital functions from the screen of any multiparametric monitor model, thus being monitor-agnostic. Moreover, in support of such situations, it can alert and detect critical problems before they deteriorate and help provide comprehensive care with minimal doctor-patient interaction.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639578","UNIFOR; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639578","remote patient monitoring;cyber-physical system;computer vision;mobile alert application","Computers;Patient monitoring;Computer vision;Infectious diseases;Computational modeling;Decision making;Medical services","","","","36","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"A Board Game Performance Index – a disruptive innovation to assess people with dementia with different apathy levels","M. Rosa; S. Lopes; N. Martins; E. Lacomba-Arnau","School of Health Sciences (ESSLei), ciTechCare-Center for Innovative, Care and Health Technology, Leiria, Portugal; ciTechCare-Center for Innovative, Care and Health Technology, Universitat de Salamanca, Leiria, Portugal; School of Health Sciences (ESSLei), ciTechCare-Center for Innovative, Care and Health Technology, Leiria, Portugal; Universitat de Lleida Lleida, Spain",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","5","Traditional observation scales could be subjective and less sensitive to behavioural changes in people with dementia with different levels of apathy. This pilot study aims to explore if there is a difference in a comprehensive game index between people with dementia with different levels of apathy. Patients with dementia were recruited and thirteen were selected for this study. Sociodemographic data, apathy levels (APADEM) and a game performance index were collected. Patients were divided into two groups according to the percentile 50 in APADEM and the game performance index was compared. Results demonstrated that patients with different levels of apathy have significant differences in the Board Game Performance Index. Future studies should explore other dimensions in a comprehensive game index and strengthen the methodology with a more representative sample of people with dementia.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639583","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639583","game;assessment;dementia;apathy;older people","Disruptive innovation;Games;Performance analysis;Serious games;Indexes;Dementia","","","","21","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Redesign of an m-Health Application for Individuals with Bipolar Disorder: A Strategy for User Adherence and Effective Data Collection","A. G. Mondéjar; G. F. M. Silva-Calpa; A. B. Raposo; D. C. Mograbi","Department of Informatics, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Informatics, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Informatics, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Psychology, Psychology & Neuroscience King’s College London, Pontifical Catholic University of Rio de Janeiro, Institute of Psychiatry, Rio de Janeiro, Brazil",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","9","Bipolar Disorder (BD) is a condition marked by fluctuations in mood, activity, and self-awareness of the illness that impacts around 1.9% of individuals worldwide. Several studies involving m-health applications to monitor patients with BD have shown contributions preventing and detecting those fluctuations early, avoiding extreme consequences to the patient’s health and well-being. Those systems usually require daily patient feedback on their condition, thus, the lack of compliance with those reports may significantly influence study quality. This paper presents the redesign process of an m-health application to collect data on people with BD, applying strategies to improve user adherence and appropriate data collection, tested in 14 BD persons. Results show that adherence to our solution was 88.87%, and participants do not relate battery drain with the proposed app. Furthermore, it allows improved data analysis in subsequent studies.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639601","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639601","m-Health;bipolar disorder;data collection","Fluctuations;Data analysis;Mood;Medical services;Data collection;Sensor phenomena and characterization;Serious games","","","","43","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Assessing User Experience in an Immersive Virtual Reality Application for Cognitive Training in Patients with Neuromuscular Disorders","M. Mondellini; L. Greco; S. Bolognini; R. Pugliese; E. Carraro; M. Sacco; S. Arlati","CNR, Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing, Lecco, Italy; Neuromuscular Omnicentre (NEMO), Fondazione Serena Onlus, Milan, Italy; Neuromuscular Omnicentre (NEMO), Fondazione Serena Onlus, Milan, Italy; Nemo Lab, Milan, Italy; Neuromuscular Omnicentre (NEMO), Fondazione Serena Onlus, Milan, Italy; CNR, Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing, Lecco, Italy; CNR, Institute of Intelligent Industrial Technologies and Systems for Advanced Manufacturing, Lecco, Italy",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","8","Immersive Virtual Reality (VR) is receiving growing attention in hospital care. However, up to date, few studies have been conducted on using VR in neuromuscular patients. The study investigates the feasibility of conducting a cognitive task in a fully immersive virtual environment for patients with neuromuscular disorders. Thirteen patients with a neuromuscular disorder were recruited at NeuroMuscular Omnicentre (NEMO) in Milan. Patients performed a cognitive task, i.e., they did the shopping in an ad-hoc developed VR application wearing a head-mounted display. Questionnaires on anxiety, technology acceptance, flow, and cybersickness were proposed. According to the patients’ response, the VR-based cognitive training was well tolerated: anxiety remained stable, the flow state and variables related to acceptability achieved medium-high scores, and symptoms of cybersickness were minimal. Overall, proposing VR sessions could enhance traditional hospital care for patients with neuromuscular disorders. Considering their tolerability, larger-scale studies could explore the effectiveness of VR-based cognitive training.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639529","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639529","Muscular Dystrophy;Motor Neuron Disease;Technology Acceptance;Cybersickness;Flow","Training;Neuromuscular;Cybersickness;Hospitals;Anxiety disorders;Virtual environments;User experience","","","","40","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Enhanced Predictive Monitoring of Hypoglycemia in Type 1 Diabetes Using Shapelet-Based Analysis of Wearable Sensor Data","J. I. Daniel Onwuchekwa; D. Claus; C. Weber; M. Maleshkova","Digital Health Sciences and Biomedicine, University of Siegen, Siegen, Germany; Digital Health Sciences and Biomedicine, University of Siegen, Siegen, Germany; Digital Health Sciences and Biomedicine, University of Siegen, Siegen, Germany; Data Engineering, Helmut Schmidt University, Hamburg, Germany",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","8","Predicting hypoglycemic events in a timely and accurate manner is critical for the effective management of Type 1 Diabetes (T1D) and the prevention of its harmful health consequences. This study presents sophisticated predictive models that use noninvasive monitoring technology and shapelet-based feature extraction from heart and breathing rate data to capture physiological signals indicative of hypoglycemic episodes. The core objective was to harness the descriptiveness of non-invasive physiological time-series data with the robust predictive capabilities of machine learning for T1D management. To achieve this, we implemented and evaluated three machine learning classifiers: support vector machines (SVM), Random Forest Classifiers (RFC), and Convolutional Neural Networks (CNN). We also leveraged shapelets to extract distinct, patient-specific physiological patterns indicative of hypoglycemic episodes. The proposed method involves comprehensive preprocessing of physiological sensor data from the D1NAMO dataset, extracting shapelet features characteristic of hypoglycemic events, and iterative classifier optimization modeling. The performance metrics—including accuracy, precision, recall, and the F1-score—were estimated to evaluate each model’s effectiveness.The results indicate that the CNN model outperformed the other models, achieving 76% accuracy, 77% precision, and a 0.76 F1-score for hypoglycemia detection. The SVM and RFC models also demonstrated substantial capabilities, underpinning their potential use in clinical settings. In conclusion, the integration of shapelet-based feature extraction into machine learning frameworks can significantly advance personalized hypoglycemia prediction and demonstrate a promising avenue for enhancing noninvasive diabetes monitoring techniques for patients with T1D, thereby setting the stage for extended research and refinement in this vital healthcare domain.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639605","Hypoglycemia Prediction;Type 1 Diabetes Mellitus;Noninvasive Monitoring;Shapelet-Based Feature Extraction;Physiological Signal Processing;Wearable Sensors;Machine Learning","Support vector machines;Accuracy;Machine learning;Predictive models;Feature extraction;Data models;Diabetes","","1","","25","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Web of Things in the context of AAL and AHA: a mapping review","H. Sant’Ana; H. Paredes; L. Barbosa; N. F. Rodrigues","Universidade Aberta, UAb, Lisboa, Portugal; INESC TEC and Universidade de Trás-os-Montes e Alto Douro, UTAD Quinta de Prados, Vila Real, Portugal; Universidade de Trás-os-Montes e Alto Douro, UTAD Quinta de Prados, Vila Real, Portugal; Escola Superior de Tecnologia Instituto Politécnico do Cávado e do Ave, IPCA, Barcelos, Portugal",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","6","The Web of Things (WoT) is an essential component within the Internet of Things (IoT) domain, offering a standardized method for describing, consuming, and orchestrating the functions of IoT devices. WoT plays a crucial role in promoting interoperability and streamlining the development of applications for IoT solutions. Recent research focusing on IoT solutions for ambient assisted living (AAL) has highlighted WoT as a key framework for integrating diverse smart devices and services to enhance the quality of life for older adults and individuals with specific health conditions. However, a closer look at recent literature reviews reveals a deficiency in comprehensive research regarding the interplay between WoT, AAL, and the health and wellbeing of older adults. To address this question, a comprehensive mapping review is performed to delve into the existing literature and pinpoint the most pertinent themes and topics within WoT. This analysis aims to uncover evidence of the correlation between WoT, AAL, and active and healthy aging (AHA) to support future research in this area.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639561","Foundation for Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639561","web of things;mapping review;AAL;AHA","Correlation;Ambient assisted living;Focusing;Smart homes;Aging;Serious games;Internet of Things","","","","42","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"My Lockdown Journal – a Gamified Journaling App supporting Citizens’ Wellbeing during COVID-19 Lockdowns","N. Majithia; A. Aldosery; C. Wood; G. Birjovanu; T. Wang; P. Baker; A. Bosman; P. Kostkova","UCL Centre for digital Public Health in Emergencies (dPHE), University College London; UCL Centre for digital Public Health in Emergencies (dPHE), University College London; UCL Centre for digital Public Health in Emergencies (dPHE), University College London; UCL Centre for digital Public Health in Emergencies (dPHE), University College London; UCL Centre for digital Public Health in Emergencies (dPHE), University College London; UCL Centre for digital Public Health in Emergencies (dPHE), University College London; Transmissible, Netherlands; UCL Centre for digital Public Health in Emergencies (dPHE), University College London",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","8","The COVID-19 pandemic, and the lockdowns in response to it, massively disrupted the daily routines of people around the world. To stay isolated at home for long periods can come at an extreme detriment to one’s comfort, and although the pandemic brought with it a wave of digital applications with the aim of keeping people safe, few of these presented features that could directly support users’ wellbeing. “My Lockdown Journal” was an app designed by the UCL IRDR Centre for Digital Public Health in Emergencies (dPHE) that presented opportunity for users to journal their daily activity over the course of lockdowns. It was rapidly developed using components of other dPHE projects and released in May 2020, garnering more than 1400 unique users across the world that recorded their activities over the course of 2 years. Activity records had high granularity, providing details on the type of activity, the time the user did it, their satisfaction with it, and their answers to some follow-up questions (e.g. activity location, whether it was online or virtual). Daily reporting was encouraged by three gamification features: (i) social media competition, (ii) badges, and (iii) a self-evaluative “analytics” page. The app design and deployment are both presented in this paper alongside an evaluation of its gamification features. Overall, My Lockdown Journal demonstrated that journaling and activity recording provided valuable support to users while also generating a rich dataset of human behaviour during lockdowns that can be used to inform public health policy in the next pandemic.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639532","King Abdulaziz City for Science and Technology; Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639532","COVID-19;Human Behaviour;Journaling;Gamification;Android App","COVID-19;Data analysis;Pandemics;Social networking (online);Mental health;Emergency services;Recording","","","","25","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Immersive Virtual Reality Serious Game for Facial Expression Training","J. J. Martins; M. Castelo-Branco; M. Simões",CISUC - Center for Informatics and Systems of the University of Coimbra; CIBIT - Coimbra Institute of Biomedical Imaging and Translational Research; CISUC - Center for Informatics and Systems of the University of Coimbra,2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","7","Individuals with Autism Spectrum Disorder (ASD) frequently encounter difficulties in recognizing and expressing emotions, significantly affecting their ability to engage in social interactions. This study introduces a novel serious game designed to enhance facial emotion recognition and expression skills among individuals with ASD. Utilizing Virtual Reality (VR) technology, the game provides an immersive and interactive environment where participants diagnosed with ASD can safely practice and refine their emotion recognition and expression abilities. Three mini-games comprising identification, manipulation and production of facial expressions were created and incorporated as tasks in our larger immersive serious game TravelTrain. Preliminary evaluation through a pilot test has demonstrated the game’s potential, with participants showing positive responses towards its usability and acceptance. These encouraging outcomes suggest that it has the potential to serve as a valuable tool in assisting individuals with ASD to improve their emotional competencies and, consequently, their social interaction skills.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639571","Facial Expression;Emotion;Virtual Rehabilitation;Autism Spectrum Disorder;Serious Games","Training;Emotion recognition;Autism;Virtual reality;Production;Serious games;Usability","","","","9","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
"Delivering Bad News: VR Embodiment of Self Evaluation in Medical Communication Training","T. Collingwoode-Williams; M. Gillies; P. Nambyiah; C. Fertleman; X. Pan","Dept. of Computing Goldsmiths, SEE VR Lab, University of London, London, United Kingdom; Dept. of Computing Goldsmiths, SEE VR Lab, University of London, London, United Kingdom; Great Ormond Street Hospital, London, United Kingdom; The Whittington Hospital, London, United Kingdom; Dept. of Computing Goldsmiths, SEE VR Lab, University of London, London, United Kingdom",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","8","Medical Professionals are often put through situations where they have to communicate something undesirable to patients (or their family members). The emotional reactions from the patient, or, the parent of the patient in a children’s hospital, are not always easy to deal with. Here, using Virtual Reality (VR), we developed a new method to train medical professionals to be more prepared for these encounters, through a simulation with virtual parents, and afterwards, a reflection of their performance from the perspective of the virtual parent. This paper presents the technical setups of Embodied Perspective-Taking in a medical communication training application. Embodying a Doctor avatar, participants delivered bad news to an angry (virtual) parent that her child’s surgery had unfortunately been cancelled due to an emergency. They were then able to review their performance in VR, from either the parent’s (1st person) or a dis-embodied 3rd person’s perspective on self-efficacy. We conducted a between-group study with 16 medical professionals recruited from a paediatric hospital and found no significant impact of perspective. However, when taking into consideration the participants’ roles and experience, we found that Nurses underwent a notable change in self-evaluation compared to Doctors after experiencing their review in VR, and reported more levels of Nervousness speaking to the parent. Results suggest our approach may benefit early-stage or less confident practitioners.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639600","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639600","Human-Computer Interaction;Virtual Perspective Taking;Virtual Reality;Medical Communication Training","Training;Pediatrics;Reviews;Hospitals;Avatars;Surgery;Reflection","","","","30","Crown","26 Aug 2024","","","IEEE","IEEE Conferences"
"Probing into the Usage of Task Fingerprinting in Web Games to Enhance Cognitive Personalization: A Pilot Gamified Experience with Neurodivergent Participants","D. Paulino; J. Ferreira; A. Netto; A. Correia; J. Ribeiro; D. Guimarães; J. Barroso; H. Paredes","University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; Faculty of Information Technology, P.O. Box 35, University of Jyväskylä, Jyväskylä, Finland; University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; University of Trás-os-Montes e Alto Douro, Vila Real, Portugal; University of Trás-os-Montes e Alto Douro, Vila Real, Portugal",2024 IEEE 12th International Conference on Serious Games and Applications for Health (SeGAH),"26 Aug 2024","2024","","","1","8","Microtasks have become increasingly popular in the digital labor market since they provide easy access to a crowd of people with varying skills and aptitudes to perform remote work tasks that even the most capable algorithmic systems are unable to complete in a timely and efficient fashion. However, despite the latest advancements in crowd-powered and contiguous interfaces, many crowd workers still face some accessibility issues, which ultimately deteriorate the quality of the work produced. To mitigate this problem, we restrict attention to the development of two different web-based minigames with a focus on cognitive personalization. We have conducted a pilot gamified experience, with six participants with autism, dyslexia, and attention deficit hyperactivity. The results suggest that a web-based mini-game can be incorporated in preliminary microtask-based crowdsourcing execution stages to achieve enhanced cognitive personalization in crowdsourcing settings.","2573-3060","979-8-3503-8438-3","10.1109/SeGAH61285.2024.10639597","Foundation for Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10639597","web games;autism;ADHD;dyslexia;neurodivergent;task fingerprinting;cognition","Crowdsourcing;Autism;Fingerprint recognition;Dyslexia;Remote working;Serious games;Task analysis","","","","22","IEEE","26 Aug 2024","","","IEEE","IEEE Conferences"
