"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Pre-Validation of a Virtual Reality Tool to Quantify the Severity of Friedreich's Ataxia","K. Chenier; A. Duquette; L. Touma; M. T. Le; D. R. Labbe","Department of Software and IT Engineering, Ecole de technologie superieure, Montreal, Canada; CHUM Research Center, University of Montreal, Montreal, Canada; CHUM Research Center, University of Montreal, Montreal, Canada; CHUM Research Center, University of Montreal, Montreal, Canada; Department of Software and IT Engineering, Ecole de technologie superieure, Montreal, Canada",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","7","Existing clinical scales to evaluate the severity of Friedreich's ataxia (FA) impairment rapidly reach a plateau when patients lose the ability to walk, and they rely on the examiner to quantify ataxia. Therefore, more objective tools are necessary to complement the neurological examination and distinguish subtle changes in ataxia over time. Using virtual reality (VR), we aim to develop precise tools to measure the progression of FA. The purpose of this study was to evaluate a series of 5 different upper limb tasks in VR with FA patients in order to determine how well they were tolerated, if they allow to distinguish FA patients from a control group, and if they correlate to clinical measures. Twelve FA patients and 9 healthy partici-pants underwent traditional assessment of upper limb function and of FA severity (patients only), performed the series of five VR task, and completed a subjective evaluation. Only 6 out of 12 FA patients were able to successfully complete all tasks, primarily due to the challenges associated with manipulating the controllers for patients with advanced stages of FA. Different performance metrics of the tasks were significantly different between groups and had strong correlations to a clinical assessment scale. All participants reported very low simulator sickness and a high level of virtual presence. The results of this study demonstrate the feasibility of using VR with FA patients, although adaptation of the technology may be necessary for those with more severe impairments.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253802","Virtual reality;Friedreich's ataxia;Clinical eval-uation;Serious games;Motor assessment","Correlation;Atmospheric measurements;Virtual reality;Particle measurements;Serious games;Task analysis","","","","21","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"A Systematic Review on Software Design Patterns in Today's Perspective","M. Rahman; M. S. H. Chy; S. Saha","Dept. of CSE, Baylor University, Texas, USA; Dept. of CSE, Baylor University, Texas, USA; Dept. of CSE, Baylor University, Texas, USA",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","8","Larger Object Oriented(OO) software systems can benefit greatly from the use of software design patterns. Because design pattern offers a well-structured and proven solution to recurrent issues that developers deal with. Previous studies explored the effects of design patterns and created several models for mining design patterns. Some of them were developed using machine learning (ML) methods. This paper concentrated on giving a brief summary of the difficulties with design patterns from the developer's point of view, as well as their impact on some quality aspects. Along with that, we discussed the shortcomings of contemporary classic pattern mining techniques. We compared both conventional mining tools and ML-based mining tools. Findings show that both the random forest model and PatternScout, which is based on SPARQL queries, can effectively discover all patterns with higher precision and recall values.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253758","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253758","Software Design Pattern;Quality Attributes;Pattern Recognition;Machine Learning","Software design;Systematics;Software quality;Software systems;Serious games;Data mining;Random forests","","3","","29","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"A Human-Computer Interaction Perspective on Clinical Decision Support Systems: A Systematic Review of Usability, Barriers, and Recommendations for Improvement","G. Ferreira; E. Oliveira; J. Stamper; A. Coelho; H. Paredes; N. F. Rodrigues","Faculty of Engineering, University of Porto, Porto, Portugal; Human-Computer Interaction Polytechnic Institute of Cávado and Ave, Braga, Portugal; Human-Computer Interaction Institute, Carnegie Melon University, Pittsburgh, USA; Faculty of Engineering, University of Porto, Porto, Portugal; INESC TEC, Vila Real, Portugal; Escola Superior de Tecnologia, Polytechnic Institute of Cávado and Ave, Braga, Portugal",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","8","Clinical decision support systems have been increasingly utilized in the healthcare industry to improve patient outcomes and enhance clinical decision-making, taking advantage of the growing digital medical data. Despite their potential, there are still obstacles in an extensive adoption of these systems, such as low usability and human factors. In this systematic review, several articles describing clinical decision support systems with clinical validation are used to address some of the gaps, as well as to map the current academic landscape for the given context. The selected articles are observed through a Human-Computer Interaction perspective, aiming to identify the state-of-the-art, as well as barriers to the application of these principles. From an initial database search resulting in 121 articles, 16 articles were selected that fulfilled the chosen criteria: (1) article must be available and written in English, (2) article must report experimental work, (3) the reported system must be clinically validated. The research strategy followed the PRISMA framework. We highlight the need for clinical validation, a standardized clinical decision support taxonomy and the evaluation of these tools across multiple variables. Based on the found results, a list of recommendations can be formed to aid the development of future CDSS, or the improvement of current ones.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253790","Foundation for Science and Technology(grant numbers:2022.07391.PTDC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253790","clinical decision support system;human-computer interaction;taxonomy;evaluation;data visualization","Decision support systems;Human computer interaction;Visualization;Systematics;Taxonomy;Medical services;Serious games","","1","","47","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"A Review on Full Immersive Head-Mounted Virtual Reality Assisted Physiotherapy in Upper Limbs Rehabilitation","M. Moreira; A. Marques; J. L. Vilaça; V. Carvalho; D. Duque","Department of Technology, 2Ai – School of Technology, IPCA, Barcelos, Portugal; CHEDV - Centro Hospitalar de entre Douro e Vouga, E.P.E., Santa Maria da Feira, Portugal; Department of Technology, 2Ai – School of Technology, IPCA, Barcelos, Portugal; Department of Technology, 2Ai – School of Technology, IPCA, Barcelos, Portugal; Department of Technology, 2Ai – School of Technology, IPCA, Barcelos, Portugal",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","7","The use of head-mounted display virtual reality (HMD-VR) technology has the potential to provide a vivid and engaging experience for patients undergoing upper limb rehabilitation. A systematic review, conducted in November 2022 and encompassing a total of 254 studies, was performed to evaluate the effectiveness of HMD-VR in upper limb rehabilitation. Despite the positive perceptual changes reported in almost all studies, the results were not robust enough to draw any significant conclusions. While some studies showed improvements compared to traditional physiotherapy, further research with larger sample sizes and more contributions is necessary to fully understand the impact of HMD-VR on upper limb motion recovery and pain reduction in patients.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253805","virtual reality;VR;physiotherapy;rehabilitation;chronic pain;upper limbs)","Systematics;Head-mounted displays;Pain;Virtual reality;Serious games","","2","","16","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"Robotic Support for Haptic Dementia Exercises","N. Schweiger; C. Wolff","Faculty of Media Informatics, University of Regensburg, Regensburg, Germany; Faculty of Media Informatics, University of Regensburg, Regensburg, Germany",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","7","Due to demographic change, the number of seniors in nursing homes will increase over the next few years. Since caring for people with dementia is very time-consuming and nursing homes are cutting staff due to cost pressures, the care sector faces enormous challenges in the coming years. However, regular training of certain physical exercises adapted to the individual state of health is very important for the health promotion and resilience of people with dementia. Therefore, it is necessary to explore a dementia robot that enables seniors to perform these exercises independently and flexibly. As dementia exercises that can be transferred to a robot, ball throwing, high-five game and strength exercises have already been derived in preliminary work. Based on this, an adaptive, optimizing and real-time interaction system has now been researched, which uses rule-based Fuzzy Logic to classify the degree of dementia and Evolutionary Algorithms to adapt the exercise parameters to the state of health. To develop the classifier, the expert knowledge of caregivers was collected using knowledge acquisition. The expert knowledge was formalized in a knowledge base using a hybrid inference mechanism. The results show that the degree of dementia can be correctly classified for the ball throwing, high-five game and strength exercise. Similarly, the exercise parameters can also be optimized with respect to individual therapy progress. The interaction system was successfully tested in a real-time robot simulation. Initial tests with a real two-arm robot were successfully performed. The evaluation with trained personnel as well as the acceptance study in a nursing home are in preparation.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253782","robotic;dementia;human-robot interaction;Fuzzy Logic;Evolutionary Algorithms","Training;Knowledge acquisition;Knowledge based systems;Medical treatment;Real-time systems;Serious games;Personnel","","2","","24","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"SANE – A Journey for Health: Prototype Game Design and a Cognitive Walkthrough Evaluation","T. Floreste; A. K. Yasui; A. L. Brandão; K. Vittori; L. Pereira; F. de Souza Santos; S. Gama","Federal University of ABC, Santo André, Brazil; Federal University of ABC, Santo André, Brazil; Federal University of ABC, Santo André, Brazil; Federal University of ABC, Santo André, Brazil; Center of Eng., Model. and App. Soc. Sc., Federal University of ABC, Santo André, Brazil; Institute of Math. and Comp. Sciences, University of São Paulo, São Carlos, Brazil; Instituto Superior Técnico, University of Lisbon, Lisbon, Portugal",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","8","The SARS-CoV-2 pandemic has forced many individuals to work from home in order to minimize the risk of contracting the virus. This extended period of isolation has had a significant impact on mental health, and there is a stigma surrounding mental health issues that can prevent individuals from seeking professional help. Games have been shown to be an effective tool for learning new concepts, and in this study, we present a proof-of-concept digital game prototype designed and developed during the pandemic in 2020. The prototype game provides opportunities for users to learn about mental health and the professionals who approach related disorders, with a focus on anxiety and depression. We also evaluate the prototype game's usability and effectiveness using the Cognitive Walkthrough method. Our findings suggest that the game has the potential to contribute to the promotion of mental health and well-being, especially in times of crisis such as the SARS-CoV-2 pandemic.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253808","Games for Change;Anxiety;Mental Health;mental disorders;participatory design;game prototype","Pandemics;Anxiety disorders;Prototypes;Games;Mental health;Depression;Coronaviruses","","","","38","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"Review Apps to Evaluate Stroke Risk in Prehospital Setting","E. Oliveira; J. Ferreira; J. Alves; M. Henriques; N. F. Rodrigues","2Ai, School of Technology, IPCA, Barcelos, Portugal; Universidade do Minho, Braga, Portugal, Braga, Portugal; 2Ai, School of Technology, IPCA, Barcelos, Portugal; Centre of Biological Engineering, Universidade do Minho, Braga, Portugal, Braga, Portugal; 2Ai, School of Technology, IPCA, Barcelos, Portugal",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","6","Mobile applications have experienced exponential growth in recent years, including mHealth apps related to stroke, one of the most prevalent diseases worldwide. This review aims to analyze the characteristics of available stroke apps designed to assist in assessing stroke severity. Initially, 809 apps were retrieved from both the App Store and Google Play Store. These apps were then filtered, primarily excluding those that did not implement a prehospital stroke scale with a resulting score. A total of 36 apps met the criteria for further analysis in this review. The majority of these apps displayed scale items using text only. Certain scales, such as RACE, VAN, and NIHSS, are supported by studies demonstrating their ability to accurately assess stroke severity. Consequently, apps featuring these scales are more likely to be useful in achieving the objective of this study. Improvements to these apps could be made by expanding the functionalities they offer and enhancing their user experience.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253761","Stroke;Mobile applications;Apps;Prehospital Score Scale;mHealth;Prehospital Stroke Triage;LVO","Training;Visualization;Systematics;Sensitivity;Stroke (medical condition);Streaming media;Sensitivity and specificity","","","","11","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"The Role of Kiosks on Health Services: A Systematic Review","E. Oliveira; P. Pacheco; F. Santos; J. Coimbra; J. Stamper; A. Coelho; H. Paredes; J. Alves; N. F. Rodrigues","2Ai, School of Technology, IPCA, Barcelos, Portugal INESC-TEC, Porto, Portugal, Braga, Portugal; Departamento de informatica, Universidade do Minho, Braga, Portugal, Braga, Portugal; Departamento de informatica, Universidade do Minho, Braga, Portugal, Braga, Portugal; Internal Medicine Service, Porto University Hospital Center, Porto, Portugal, Porto, Portugal; Carnegie Mellon University, USA, USA; INESC-TEC, Porto, Portugal, Porto, Portugal; INESC-TEC, Porto, Portugal, Porto, Portugal; 2Ai, School of Technology, IPCA, Barcelos, Portugal INESC-TEC, Porto, Portugal, Braga, Portugal; 2Ai, School of Technology, IPCA, Barcelos, Portugal INESC-TEC, Porto, Portugal, Braga, Portugal",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","6","Introduction: Emergency department visits have increased substantially, leading to a significant rise in waiting time for patients. Several kiosk-based solutions have been introduced to reduce waiting times in healthcare facilities and to increase efficacy and user satisfaction. Purpose of the Study: This systematic review aims to identify the most effective self-service kiosk features for collecting patients' health information and to evaluate their acceptability among elderly and less educated populations, despite not being the focus, there is pontencial in the development of the system interface to facilitate the perception and understanding of those with less digital literacy. Methods: We conducted a systematic review of studies on diagnosis, replacement of face-to-face consultation, and triage kiosks published between January 2009 and March 2023 in the databases PubMed, IEEE Xplore, Web of Science, Cochrane Library, ScienceDirect, and Scopus. Results: The eight analyzed studies included 2,298 participants in total, with participants aged between 16 and 94 years. Most studies provided kiosk assistance. Elderly patients demonstrated the capability and willingness to participate in technological interventions. Conclusion: User interface elements were the most critical features in health kiosk design, followed by clear communication and patients' understanding of the benefits associated with kiosk use. The high levels of kiosk acceptance and satisfaction observed indicate a significant opportunity for the introduction of self-service kiosks in various healthcare contexts.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253807","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253807","Health Kiosk;Self-Service Kiosk;Emergency Departments;Primary Health Care;Effectiveness;Systematic Review","Systematics;Sociology;Medical services;User interfaces;Serious games;Older adults;Statistics","","","","23","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"Integrating an Assistive Soft Robotic Glove with an Immersive Virtual Reality Hand Rehabilitation Game","A. R. Jamieson; I. Singh; D. V. Nguyen; K. C. Waghmare; B. G. C. Singh; Y. Gu; M. B. J. Wijesundara","The UTA Research Institute (UTARI), The University of Texas at Arlington, Fort Worth, USA; The UTA Research Institute (UTARI), The University of Texas at Arlington, Fort Worth, USA; The UTA Research Institute (UTARI), The University of Texas at Arlington, Fort Worth, USA; The UTA Research Institute (UTARI), The University of Texas at Arlington, Fort Worth, USA; The UTA Research Institute (UTARI), The University of Texas at Arlington, Fort Worth, USA; The UTA Research Institute (UTARI), The University of Texas at Arlington, Fort Worth, USA; The UTA Research Institute (UTARI), The University of Texas at Arlington, Fort Worth, USA",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","8","Virtual reality is becoming a valuable tool in physical rehabilitation as it has been shown to increase patient motivation for completing mundane and repetitive exercises that are required to achieve functional recovery. While this concept is already being explored for rehabilitation of many parts of the body, there remains a gap in applying this type of therapy to treating the hands of people with limited mobility such as individuals with neurological disorders. To take the first step in reaching this underserved population, we have integrated our proprietary assistive soft robotic glove technology with an immersive virtual reality game to demonstrate the feasibility of interaction between the two for assistive motion while gaming and tracking motions. For this work, a preliminary game was developed that has real-time motion control of a virtual hand to enhance immersion, trains the user to perform flexion and extension hand exercises, and has the capability to automatically assist the user as needed by communicating with a soft robotic glove.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253774","virtual reality;serious game;hand rehabilitation;assistive robotics","Neurological diseases;Motion planning;Tracking;Sociology;Games;Virtual reality;Soft robotics","","","","26","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
"SereneMind: Design and Evaluation of a Persuasive Mobile App for Managing Stress Among Adults","M. Alhasani; O. Oyebode; R. Orji","Faculty of Computer Science, Dalhousie University, Halifax, Canada; Faculty of Computer Science, Dalhousie University, Halifax, Canada; Faculty of Computer Science, Dalhousie University, Halifax, Canada",2023 IEEE 11th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2023","2023","","","1","8","Stress is a global public health problem that leads to severe physical and psychological health risks if not managed. Various stress management interventions have been delivered using mobile health (mHealth) apps. Although there are different existing mobile apps promoting stress-coping strategies, more work is still needed to design and evaluate such apps from a persuasion standpoint. Persuasive mobile apps incorporate persuasive strategies (PS) that work as backbone mechanics to motivate desired behaviour change. Therefore, we design and evaluate a mobile app called SereneMind following a five-step process. First, we deconstruct the PS operationalized in 150 stress management apps from both Google Play and App Store to identify the most implemented PS using the Persuasive Systems Design (PSD) framework. Second, we design a low-fidelity prototype (LFP) depicting various features of the app based on the top ten PS. Third, we conduct a user study involving our target audience to evaluate the perceived persuasiveness/effectiveness of each feature and uncover further improvement based on users' feedback. Fourth, based on our findings from the LFP evaluation, we design a high-fidelity prototype (HFP) using only the features that were perceived as effective by our target audience and applying user suggestions to refine the prototypes. Finally, we run a usability study to evaluate the HFP. Our results show that participants perceived SereneMind as usable and useful for managing stress. Therefore, it is more likely to be adopted and used. Lastly, we offer design recommendations for stress management apps in line with our findings.","2573-3060","979-8-3503-4607-7","10.1109/SeGAH57547.2023.10253762","Natural Sciences and Engineering Research Council of Canada (NSERC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10253762","mobile health app;stress management;persuasive strategies;behaviour change;user-centered design;thematic analysis","Persuasive systems;Prototypes;Psychology;Human factors;Mobile applications;Serious games;Internet","","1","","48","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
