"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Analyzing the Distinctive Impact of Personality Traits on Serious Gameplay Experience","R. A. Tasnim; F. Z. Eishita","Department of Computer Science, Idaho State University, Pocatello, USA; Department of Computer Science, Idaho State University, Pocatello, USA",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","8","With the advancement of technology, the handheld devices equipped with various sensors are playing vital role in video game sector. In serious games where the goal is beyond entertainment, handheld devices act as an expedient medium. The accessibility of gaming has been leveraged enhancing its scope of application in various sectors including mental health. Qualitative analysis of gameplay experience is key to perpetuate the standard of game. While it comes to serious games, the impact of gameplay experience may significantly vary depending on the personality of the player. In serious games, where the primary goal is people's cognitive, social, motivational, and emotional enhancement, analyzing this differential impact is crucial. In this paper, we have presented an analysis of the differential impact of personality traits in serious gaming context. To conduct the experiment we have adopted our previously developed game Militant of the Maze (MoM) [38] that comprises one of the efficacious strategies of Cognitive Behavioral Therapy (CBT), Find alternative as underlying gameplay strategy, which is used to treat Obsessive Compulsive Disorder (OCD). After conducting a large-scale user experiment and statistical analysis we have demonstrated that individual PX can be significantly impacted by the player's personality trait in a serious gaming context, which may significantly impact the efficacy of the framework to treat neonle with OCD.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551856","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551856","serious games;psychotherapeutic strategy;gameplay;player experience;Big Five Inventory(BFI)","Handheld computers;Statistical analysis;Medical treatment;Entertainment industry;Games;Mental health;Serious games","","2","","43","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"Towards the Evaluation of the Usability and Portability of Serious Games","M. Arevalo; V. Romero; C. Sanchez-Zhunio; D. Prado-Cabrera; P. Cedillo","Department of Computer Science, Universidad de Cuenca, Cuenca, Ecuador; Department of Computer Science, Universidad de Cuenca, Cuenca, Ecuador; Department of Computer Science, Universidad de Cuenca, Cuenca, Ecuador; Department of Computer Science, Universidad de Cuenca, Cuenca, Ecuador; Department of Computer Science, Universidad de Cuenca, Cuenca, Ecuador",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","8","Serious Games (SG) are designed to teach, train, or promote behavior change while entertaining players. They are increasingly popular because they provide significant health benefits, while improving the cognitive functions. Similarly, to other software tools, these solutions need to assess their quality, to be later improved. However, there are not contributions that allow the quality evaluation specifically related to the usability and portability characteristics. Therefore, this paper presents, first, an evaluation method aligned to the ISO/IEC 25040 standard, its activities, and artifacts which will be used for the serious game's quality evaluation. This method's name is Serious Game Quality Assessment Method (SG-QUAM).. Second, it provides a usability and portability model aligned to the ISO/IEC 25010 standard and oriented to this specific domain (i.e., serious digital games), and lastly, the quality in use while players are using the application. Moreover, 16 software engineers evaluated the solution through an experiment; the results showed good insights oriented to improve the contributions and concluded that SG-QUAM is perceived as easy to use, useful and that could be used in the future.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551903","Serious games;quality model;evaluation method;usability;portability","ISO Standards;Conferences;Serious games;Quality assessment;Usability;IEC Standards;Software tools","","2","","27","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"ViTAWiN - Developing Multiprofessional Medical Emergency Training with Mixed Reality","J. Schild; C. Elsenbast; G. Carbonell","Interactive Reality Experiences, Hochschule Hannover, Hannover, Germany; Fraunhofer Institute for Experimental Software Engineering IESE, Kaiserslautern, Germany; Interactive Reality Experiences, Hochschule Hannover, Hannover, Germany",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","9","Multi-user Virtual Reality (VR) has shown potential to provide a secure and collaborative environment for medical emergency training. The actual implementation and effective use of such technology depends on ergonomic (e.g., presence, usability) factors as well as solving challenges concerning the integration into existing training environments and multiple medical professions. This paper explores on how to extend a virtual training environment while addressing two professional groups, i.e., paramedics and emergency nurses. In an iterative and interdisciplinary development case we report on how a a comprehensive user-centered requirements analysis leads to the design of multi professional medical scenarios applied to an extended VR prototype. A user study with 30 paramedic students and 4 nursing trainees indicates adequate functionality with good usability and confirms effectiveness of our process. Based on our findings we propose a future research agenda concerning social and haptic interactions between trainees and patients for interprofessional medical mixed reality (MR) training.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551890","German Bun-desministerium für Bildung und Forschung (BMBF)(grant numbers:01PV18006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551890","medical training simulation;multiprofessional training;virtual reality;mixed reality;haptics;social VR;case","Training;Ergonomics;Conferences;Mixed reality;Prototypes;Virtual reality;Medical services","","9","","29","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"Increasing Sociability in a Virtual World: A Serious Game for Social Anxiety Disorder","A. Sun; S. Conde; A. Elor","Department of Computational Media, University of California, Santa Cruz, Santa Cruz, CA, USA; Department of Computational Media, University of California, Santa Cruz, Santa Cruz, CA, USA; Department of Computational Media, University of California, Santa Cruz, Santa Cruz, CA, USA",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","5","In the United States, social anxiety disorder is one of the most prevalent health challenges with psychological symptoms that impact multiple areas of life; however, one of the barriers to seeking treatment is the phobia itself. Therefore, one possible solution to this issue is to make exposure therapy more attractive and accessible. This paper explores the viability of gamification of treatment solutions through a serious game that affords users to access social exposure therapy to improve the at-home exercise and relapse prevention experience. We aim to simulate real-life interactions during a time when many individuals are socially isolated due to the global COVID-19 pandemic through a safe platform for gamified public speaking. Thus, we present a game designed towards assisting the reduction of the pervasiveness in social anxiety.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551867","UCSC 2020 Science Internship Program (SIP); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551867","Serious Games;Behavioral Therapy;Exposure Therapy;Social Anxiety Disorder;Virtual Environments","COVID-19;Pandemics;Conferences;Medical treatment;Virtual environments;Mental health;Public speaking","","1","","31","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"Food Pyramid Escape - A serious escape game for the support of nutritional education in Austria and beyond","C. Aigner; E. -M. Resch; A. El Agrod; R. Baranyi; T. Grechenig","Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group for Industrial Software, Vienna University of Technology, Vienna, Austria",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","8","Food plays an important role in everyday life. It keeps the human metabolism up and running and can also hugely affect personal health. Despite lot's of available food options people can choose from nowadays, some still tend to prefer unhealthy food. Such malnutrition can lead to severe medical problems like the metabolic syndrome, Diabetes mellitus, and cardiovascular diseases. Many people seem to lack nutritional knowledge and therefore often make poor food choices. Health promotion, which strives to empower people to take care of their health, aim to take effective countermeasures for aforementioned problems. Currently, most Austrian health promotion interventions only rely on information material and workshops and are mostly aimed at specific target groups (e.g. minors or the elderly). Therefore, the authors of this paper propose a serious game called “Food Pyramid Escape” which has the potential to aid health promotion in Austria and beyond. “Food Pyramid Escape” is a serious escape game that conveys nutritional knowledge by wrapping it into a coherent story, diverse riddles and mini-games and is targeted to a wide audience. The game can be used as a standalone nutrition intervention measure or together with additional information material and workshops for larger scale intervention plans.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551850","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551850","nutrition;health promotion;serious games;game design;learning","Conferences;Biochemistry;Serious games;Diabetes;Cardiovascular diseases;Wrapping","","3","","15","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"A virtual reality game to support visuospatial understanding of medical X-ray imaging","F. Lenz; M. Fock; T. Kramer; Y. Petersen; M. Teistler","Center for Interaction, Visualization and Usability (CIVU) Flensburg University of Applied Sciences, Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU) Flensburg University of Applied Sciences, Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU) Flensburg University of Applied Sciences, Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU) Flensburg University of Applied Sciences, Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU) Flensburg University of Applied Sciences, Flensburg, Germany",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","6","Visuospatial aspects of medical X-ray imaging can be difficult to understand. xRay World is a serious game built as a virtual reality application that is designed to introduce players to the X-ray imaging process. xRay World is equally suitable for beginners and advanced players thanks to different levels of difficulty and different game modes. In various minigames., users have to solve tasks by X-raying sealed boxes that contain nonanatomical objects. In addition., a virtual practice lab is included which allows users to freely experiment with X-ray imaging without a given task. The usability and game design of xRay World were rated positively by test users. The application can be considered a safe and cost-effective solution to teach relevant basics of X-ray imaging.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551899","medical imaging;educational game;serious game;virtual reality;safe learning environment;X-ray imaging","Conferences;Virtual reality;Serious games;Task analysis;Usability;X-ray imaging;Biomedical imaging","","4","","12","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"A Serious Game for Patient’ Rights Education","D. C. De Oliveira; F. Bielser; D. Bonnard; Y. Songuel; D. Jaccard","Haute Ecole de Santé Vaud University of Applied Sciences of Western Switzerland), Lausanne, Switzerland; Haute Ecole de Santé Vaud University of Applied Sciences of Western Switzerland), Lausanne, Switzerland; Haute Ecole de Santé Vaud University of Applied Sciences of Western Switzerland), Lausanne, Switzerland; Haute Ecole de Santé Vaud University of Applied Sciences of Western Switzerland), Lausanne, Switzerland; Media Engineering Institute University of Applied Sciences of Western Switzerland), Lausanne, Switzerland",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","6","The knowledge and the implementation of patients' rights are fundamental in health professional practices. Courses for healthcare students are often taught using a lecture format. Yet, students find it difficult to understand the importance of legal concepts and apply it to their future practice. In order to promote learner centered teaching practices and encourage knowledge acquisition and practical skills development, the “Patient's Rights & Innovative Teaching Strategy (PRITS)” project aimed at developing a serious game dedicated to patients' rights education. To design and develop this serious game and the associated learning concept, we set up a multidisciplinary team of experts from the fields of healthcare, law, education and engineering. A collaborative methodology was used to ensure the coherent development of all games and learning elements. The PRITS serious game integrates knowledge about patients' rights into dialogues with virtual patients. It also provides additional resources and exercises related to the topics. The learning experience intends to challenge students' mental models and support a transition from “quality of care only” to “quality of care and respect of patients' rights”.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551898","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551898","Patient rights;serious game;serious games design framework;health professional education;higher education;health law","Law;Knowledge acquisition;Conferences;Education;Medical services;Transforms;Tools","","3","","33","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"Heuristic Evaluation for Virtual Reality for Paediatric Cancer Patient: Perceptions of Healthcare Professionals","E. S. Abd Majid; J. Garcia; H. Alias; A. Nordin; W. Raffe","Faculty of Engineering and IT, University of Technology Sydney, Sydney, Australia; Faculty of Engineering and IT, University of Technology Sydney, Sydney, Australia; Department of Paediatrics, UKM Medical Centre, Kuala Lumpur, Malaysia; Institute of Visual Informatics, National University of Malaysia, Bangi, Malaysia; Faculty of Engineering and IT, University of Technology Sydney, Sydney, Australia",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","6","There has been an increased interest in Virtual Reality (VR) as a medium of distraction for paediatric cancer patients. Paediatric cancer patients that undergo chemotherapy treatments often face episodes of anxiety, depression and isolation due to the lengthy procedure. The use of video games as a medium of distraction has shown positive results as a tool to provide emotional support for paediatric cancer patients during chemotherapy. However, few studies have qualitatively explored the experience of healthcare professionals on VR usability before testing with real patients. This paper reports an experimental evaluation of healthcare professionals' perspective on the use of VR technology for paediatric cancer patients among healthcare professionals. The objectives are to explore the potential impact of VR as a distraction in paediatric cancer treatment procedure and to identify user requirements for VR technology in the related hospital setting. This paper presents the results of focus-group interviews on this topic with healthcare professionals working in paediatric oncology unit. Interview data was analysed using thematic analysis and a heuristic evaluation technique to identify relevant usability design considerations.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551892","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551892","Virtual Reality;Heuristic Evaluation;Cancer;Serious Games;Distraction;Paediatric","Pediatrics;Chemotherapy;Pain;Virtual reality;Tools;Serious games;Usability","","","","28","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"Training visuospatial skills for medical ultrasound imaging with a desktop-based learning game","L. Mayer; M. Süncksen; S. Reinhold; S. Bertel; M. Teistler","Center for Interaction, Visualization and Usability (CIVU), Flensburg University of Applied Sciences Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU), Flensburg University of Applied Sciences Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU), Flensburg University of Applied Sciences Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU), Flensburg University of Applied Sciences Flensburg, Germany; Center for Interaction, Visualization and Usability (CIVU), Flensburg University of Applied Sciences Flensburg, Germany",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","6","Ultrasound is becoming increasingly important in almost all medical fields. However, there are still large gaps in ultrasound education. A novel educational game for ultrasound beginners is presented which aims at training the visuospatial skills needed for understanding cross-sectional imaging. The game can be played at home on a standard PC with mouse and keyboard as input devices, thereby opening up new teaching options. We investigated training efficacy in an exploratory study. Results suggest that participants who played the game can improve their spatial abilities more than participants who did not. This improvement was not statistically significant, possibly due to the small sample size and a strong ceiling effect. The concept of the game, however, was rated positively by the participants.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551914","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551914","ultrasound training;gamification;serious game;desktop application;visuospatial skills;medical education","Training;Ultrasonic imaging;Conferences;Keyboards;Input devices;Mice;Serious games","","3","","19","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
"Persuasive Application for Discouraging Unhealthy Gaming Behaviour","A. Adib; A. Norman; R. Orji","Faculty of Computer Science, Dalhousie University, Halifax, Nova Scotia, Canada; Faculty of Computer Science, Newcastle University, Newcastle upon Tyne, United Kingdom; Faculty of Computer Science, Dalhousie University, Halifax, Nova Scotia, Canada",2021 IEEE 9th International Conference on Serious Games and Applications for Health(SeGAH),"5 Oct 2021","2021","","","1","8","This paper presents the design and two-stage preliminary evaluation of a persuasive application for discouraging unhealthy gaming behaviour following the user-centered design approach. As games are becoming more popular and attracting people of all ages, there is an increased risk in developing gaming disorder- a disorder where gaming activity becomes the predominant activity in a person's life. By investigating gaming disorder, addictive behaviour and ways to combat addiction, this paper presents a mobile application prototype, designed through user-centered design approach to help users with gaming disorder and prevent others from developing it. Via design and evaluation of the application prototype, this paper discusses which persuasive strategies were successful in discouraging unhealthy gaming behaviour. The results of our evaluation show mostly positive feedback, hence highlighting the need for such an application. The participants emphasized on having parental control and receiving suggestions from the application, which could potentially help in mitigating gaming disorder.","2573-3060","978-1-6654-2649-7","10.1109/SEGAH52098.2021.9551891","Canada Research Chairs Program; Natural Sciences and Engineering Research Council of Canada (NSERC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551891","gaming disorder;persuasive strategy;user-centered design","Persuasive systems;Conferences;User centered design;Prototypes;Mobile applications;Serious games;Interviews","","3","","24","IEEE","5 Oct 2021","","","IEEE","IEEE Conferences"
