"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"[Copyright notice]","",,2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","c1","c1","Presents the copyright information for the conference.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067067","","","","","","","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH) [Front cover]","",,2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","c2","c2","Presents the front cover or splash screen of the proceedings record.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067068","","","","","","","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"Staff list","",,2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","c3","c4","Presents the conference staff list.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067069","","","","","","","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"""Minha Saude"" a healthcare social network for patients with cardiovascular diseases","E. Lima-Medina; O. Loques; C. Mesquita","Computing Institute - Graduate Program in Computer Science, Fluminense Federal University, Niterói, RJ, Brazil; Computing Institute - Graduate Program in Computer Science, Fluminense Federal University, Niterói, RJ, Brazil; School of Medicine Graduate Program in Cardiovascular Science, Fluminense Federal University, Niterói, RJ, Brazil",2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","1","7","Many patients use the Internet to find information that can improve their health conditions. In this context, Health Social Networks are acquiring greater force in people's lives by offering them opportunities for social networking to expose questions, experiences, besides new treatments and seek to form relationships giving or receiving emotional support. We developed a Healthcare Social Network called ""Minha Saude"", a virtual environment that facilitates contact between patients with cardiovascular problems with the goal to promote actions related to social inclusion of people involved. Through a called ""Care Plan"" available in the Social Network, we tried to motivate patients to get more interest in their own care. Daily activities, emotional states, symptoms and situations will be provided by the patient in the system through any device with internet connection. This information will be used to visualize the progress of patient's health and can be used to make medical decisions as needed. Also, we distinguish an important fact related to the Care Plan, which is the inter-relationship between patients with similar characteristics, we found it important to this action that patients can feed back their experiences and this fact can serve as motivation for them to adhere more their treatments. For this, we developed an algorithm following a Content-plus-link approach for friendship recommendation between those patients who share similar interests and thus increase the level of collaboration and communication between them. This recommendation is based on data from clinical profile, health status, interests and possible previously existing connections. The results are promising about to use of the Care Plan module and the recommendations that were accepted by the participants to create friendship.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067070","","Social network services;Vectors;Diseases;Internet;Biomedical monitoring;Monitoring","","4","","26","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"Serious games for assessment and rehabilitation of ankle movements","A. C. B. F. Goncalves; W. M. dos Santos; L. J. Consoni; A. A. G. Siqueira","SORRI-Bauru Rehabilitation Center, Bauru, SP, Brazil; SORRI-Bauru Rehabilitation Center, Bauru, SP, Brazil; Robotic Rehabilitation Laboratory, Center for Advanced Studies in Rehabilitation, São Carlos, SP, Brazil; Robotic Rehabilitation Laboratory, University of São Paulo at São Carlos, Center for Robotics of São Carlos and Center for Advanced Studies in Rehabilitation, São Carlos, SP, Brazil",2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","1","6","This paper presents a set of serious games for assessment and rehabilitation of pos-stroke patients. The proposed games are connected to a robotic platform for ankle rehabilitation, which allows the patients to perform tasks regarding dorsiflexion movements and muscle strength. An usability study fo the robotic platform was conducted in 19 hemiparetic and 19 healthy subjects, with the aim of evaluating ergonomics issues, safety, level of difficulty of the games, and platform ability to measure subjects' dorsiflexion range of motion and torque. Results from both games are presented and discussed.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067071","robotic rehabilitation;serious games;walking rehabilitation","Games;Maintenance engineering;Torque;Medical treatment;Robot kinematics;Read only memory","","14","","9","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"Shoulder flexion rehabilitation in patients with monoparesia using an exergame","J. B. Castano; J. D. Hoyos Escobar; J. E. Munoz Cardona; J. F. Lopez Herrera","Human Computer Interaction Group, Universidad Tecnológica de Pereira, Pereira, Colombia; Human Computer Interaction Group, Universidad Tecnológica de Pereira, Pereira, Colombia; Human Computer Interaction Group, Maestría en Ingeniería Eléctrica, Pereira, Colombia; Programa Ciencias del Deporte y la Recreación, Universidad Tecnológica de Pereira, Pereira, Colombia",2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","1","5","Purpose - Pyramidal syndrome is a neuromotor disorder that affects quality of life of 1 out of 12,000 people around the world and most people in their middle- old age. Conventional methods are used generally for the rehabilitation of this disorder and studies are currently trying to rehabilitate patients through interaction with serious video games focused on health. This study proposes a combination of the two methods to find improvements in the flexion angle of shoulder affected by upper motor neurone lesion in patients of the “Clinica de Dolor del Eje Cafetero”. Methodology - 6 patients (3 patients with sequels of stroke, 1 patient with sequels of TBI and 2 patients with sequels of cerebral palsy) were taken into consideration. All patients suffered monoparesia in upper limb. Each patient had 7 sessions of rehabilitation. Each session of rehabilitation lasted for 30 minutes of assisted therapy and another 30 minutes with therapies of VR, where the movements of flexion of the shoulder affected through the Kinect sensor were recorded while the patient interacted with the video game. A biomechanical analysis with the Bio-Cirac software developed to load data from MoCap and show angle graphs was performed. Results - the patient who achieved the best results showed 21.0 % of improvement in the angle of flexion of the affected shoulder and improvement in muscular endurance and control of their affected limb. Conclusion - VR and serious video games specifically designed for particular pathologies are potentially useful technologies that can be combined with conventional methods to improve the angle of amplitude of flexion of the shoulder affected in patients with sequels of upper motor neurone lesion. In addition VR offers immersive experiences favorable for dissipation of pain, fatigue, setting goals and enjoyment of the activity.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067072","pyramidal syndrome;Kinect;Rehabilitation;Exergame;Serious Game","Games;Medical treatment;Lesions;Neurons;Virtual reality;Pain;Muscles","","1","","19","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"Automatic assessment of upper limb function during play of the action video game, circus challenge: validity and sensitivity to change","J. Serradilla; J. Q. Shi; Y. Cheng; G. Morgan; C. Lambden; J. A. Eyre","School of Mathematics & Statistics, Newcastle University, UK; School of Mathematics & Statistics, Newcastle University, UK; School of Mathematics & Statistics, Newcastle University, UK; School of Computing Science, Newcastle University, UK; Institute of Neurosciences, Newcastle University, UK; Institute of Neurosciences, Newcastle University, UK",2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","1","7","We present an evaluation of the cross-sectional and longitudinal validity (sensitivity to change) of a new algorithm to assess upper limb function generated automatically during play of a bespoke, professionally-written action video game (Circus Challenge Assessment Game, CCAG). The subjects were 33 patients with hemiplegia after stroke (aged 33-81 years), who played the CCAG on 8 separate occasions over a 12 week period; 19 in the chronic phase after stroke, with stable function; 14 in the acute phase during recovery of function. A convergent construct validation process was used by correlating the scores of the CCAG with a validated, clinically assessed reference, the Chedoke Arm and Hand Assessment Inventory (CAHAI). Cross- sectional validity was demonstrated using the between-subjects correlation coefficient (r = .998, p-value <; .001); longitudinal validity by the within-subjects correlation coefficient (overall, r = .54, p-value <; .001; chronic, r = .33, p-value <; .001; acute, r = .63, p - value <; .001). There was no difference between the CCAG and CAHAI in the classification of pa- tients to acute and chronic groups (comparing ROC curves, p - value = .50), demonstrating similar sensitivity to change. This is the first time a serious game can achieve automatic in- game assessment to a clinical standard, solely using low cost, commodity hardware and professionally written action video games and demonstrates the potential for remote monitoring of patients during home based rehabilitation programs.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067073","eHealth;upper-limb functional ability;validity;sensitivity to change;stroke;video games;ROC analysiseHealth;upperlimb functional ability;validity;sensitivity to change;stroke;video games;ROC analysis","Games;Sensitivity;Correlation;Standards;Aging;Remote monitoring;Medical treatment","","7","","19","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"ComFiM: a game for multitouch devices to encourage communication between people with autism","P. C. Ribeiro; A. B. Raposo","Department of Informatics, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil; Department of Informatics, Pontifical Catholic University of Rio de Janeiro, Rio de Janeiro, Brazil",2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","1","8","At about 50% of the people diagnosed with autism have problems in developing any kind of functional language. Having this is mind, we developed a game, called ComFiM, for multitouch devices, aiming to encourage communication between people with autism. This paper presents the development and evaluation of ComFiM, exposing design decisions and results. ComFiM was developed based on requirements of a group of children with a severe degree of autism. The game was evaluated following research aspects related to the perception of each player's interlocutor and communication intentions observed between the players to collaborate with each other. Tests were carried out for 9 weeks with 4 children with autism. Results indicate that both the environment provided by the technology used as well as the design decisions of the game have stimulated the players' communication intentions.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067074","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067074","Autism;Communication;Game;Multitouch;Tablet;PECS","Games;Autism;Prototypes;TV;Computers;Speech;Visualization","","17","","13","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"Make your garden grow: designing a physical activity estimation improvement game","A. Amresh; L. Small","College of Technology and Innovation, Arizona State University, Mesa, Arizona; College of Technology and Innovation, Arizona State University, Mesa, Arizona",2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","1","6","We present a novel game and virtual world based application that is aimed at improving the physical activity estimation skills of parents. It has been well established that lack of proper estimation of preschool children's activity levels may be one of the main causes for childhood obesity. Childhood obesity has several long term health effects ranging from cardio-vascular disease to type II diabetes and obese preschool children are at risk for later life. We have developed an application that caters to both the parent and the child and uses a virtual garden as a fledgling ecosystem controlled both by the parent and the child. By using a low-cost activity monitoring device and combining the data collected from the device with the estimation inputs from the parent the ecosystem manifests into real life-like visualizations that are updated on a daily basis. The goal of the design is to promote a two way intervention: 1)provide parents with a tool to daily estimate and monitor their child's activity levels and 2)motivate the child to achieve built in goals and keep the ecosystem lively and flourishing. We believe that our design will lead to improved outcomes in physical activity levels as well as long term retention and reuse by the parents. In this paper we are providing the design of the system and in future plan to present the results of a pilot trial.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067075","","Pediatrics;Games;Obesity;Ecosystems;Computers;Estimation;Meteorology","","7","","50","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
"Development of a complete game based system for physical therapy with kinect","R. C. Menezes; P. K. A. Batista; A. Q. Ramos; A. F. C. Medeiros",UFPB; UEPB; UFPB; UEPB,2014 IEEE 3nd International Conference on Serious Games and Applications for Health (SeGAH),"26 Mar 2015","2014","","","1","6","Games can create an immersive environment from recreational resources to aid in physical and motor rehabilitation, assisting the patient in the correct execution of movements through stimulation from interactive elements of digital games. However, for a game to be able to assist in rehabilitation it is necessary that it presents a set of features to accompany the exercises and help treatment. To this end, this work conducted an investigation in search of the key needs for physical rehabilitation games that use Kinect, generating a set of requirements, and developing a system that meets all needed requirements for motor rehabilitation. The game system created is composed of three modules: a module for the physiotherapist, a server module and the patient module, that is composed of two games.","","978-1-4799-4823-9","10.1109/SeGAH.2014.7067076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7067076","Serious Games;Kinect;Physical Therapy;Games for Health","Games;Medical treatment;Servers;Joints;Monitoring;Three-dimensional displays;Sensors","","9","","21","IEEE","26 Mar 2015","","","IEEE","IEEE Conferences"
