"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Using the gameplay and user data to predict and identify causes of cybersickness manifestation in virtual reality games","T. Porcino; E. O. Rodrigues; A. Silva; E. Clua; D. Trevisan","Institute of Computing, Universidade Federal Fluminense, Firjan - ISI SVP, Rio de Janeiro, Brazil; Academic Department of Informatics, Universidade Tecnologica Federal do Paraná, Pato Branco, Parana; Departament of Academic Informatics, Instituto Federal do Triangulo Mineiro, Uberaba, Brazil; Institute of Computing, Universidade Federal Fluminense, Niterói, Brazil; Institute of Computing, Universidade Federal Fluminense, Niterói, Brazil",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","8","Virtual reality (VR) is an imminent trend in games, education, entertainment, military, and health applications, as the use of head-mounted displays is accessible to everyone. While VR provides immersive experiences, it still does not offer an entirely perfect situation, mainly due to cybersickness (CS) issues. In this work, we propose a novel approach for predicting upcoming CS symptoms. Our solution is able to suggest whether the user of VR is entering into an illness situation. We adopted random forest classifiers and validated our solution using 16 different machine-learning techniques, which presented the best results. For training purposes, we built our own dataset through a CS profile questionnaire that we also propose in the present work. The questionnaire is focused on registering and identifying the user's susceptibility to CS, considering their historical conditions and also their response to the immersive environment developed by us. In this method, 86 individuals are selected and the developed questionnaire was put to them on different days, and the answers are compiled as dataset. Our proposal also identifying attributes responsible (causes and individual's parameters) for the observed stressful and uncomfortable situations.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201649","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201649","head mounted displays;causes;prediction;neural networks;machine learning;user experience;cybersickness","Games;Machine learning;Visualization;Virtual environments;Resists;Acceleration;Biological system modeling","","11","","48","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"VERA: Virtual Environments Recording Attention","V. Delvigne; L. Ris; T. Dutoit; H. Wannous; J. -P. Vandeborre","IMT Lille Douai, CRIStAL UMR CNRS 9189, Villeneuve d'Ascq, France; Neuroscience Department Lab, Faculty of Medicine and Pharmacy, University of Mons, Mons, Belgium; ISIA Lab, Faculty of Engineering, University of Mons, Mons, Belgium; IMT Lille Douai, CRIStAL UMR CNRS 9189, Villeneuve d'Ascq, France; IMT Lille Douai, CRIStAL UMR CNRS 9189, Villeneuve d'Ascq, France",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","7","Children with Attention Deficit Hyperactivity Disorder (ADHD), present different symptoms binding for everyday life, e.g. difficulty to be focused, impulsiveness, difficulty to regulate motor functions, etc. The most commonly prescribed treatment is the medication that can present side effects. Another solution is behavioural treatment that does not seem to present better results than medication for a higher cost. A novel method with growing interest is the use of neurofeedback (NF) to teach the patient to self-regulate symptoms by herself, through the visualisation of the brain activity in an understandable form. Moreover, virtual reality (VR) is a supportive environment for NF in the context of ADHD. However, before proceeding the NF, it is important to determine the features of the physiological signals corresponding to the symptoms' appearance. We present here a novel framework based on the joint measurement of electroencephalogram (EEG) and sight direction by equipment that can be embedded in VR headset, the goals being to estimate attentional state. In parallel to the signal acquisition, attentional tasks are performed to label the physiological signals. Features have been extracted from the signals and machine learning (ML) models have been applied to retrieve the attentional state. Encouraging results have been provided from the pilot study with the ability to make the right classification in multiple scenarios. Moreover, a dataset with the labelled physiological signals is under development. It will help to have a better understanding of the mechanism behind ADHD symptoms.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201699","Virtual-Reality;Eye-tracking;Brain-Computer Interface;Machine Learning","Task analysis;Electroencephalography;Physiology;Atmospheric measurements;Particle measurements;Virtual environments;Medical diagnostic imaging","","5","","32","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"Designing digital games for people with cerebral palsy - a qualitative approach on fostering self-efficacy and therapy compliance","A. Hellwig; K. Buschmann; A. Burmann","HealthCare, Fraunhofer Institute for Software and Systems Engineering, Dortmund, Germany; HealthCare, Fraunhofer Institute for Software and Systems Engineering, Dortmund, Germany; HealthCare, Fraunhofer Institute for Software and Systems Engineering, Dortmund, Germany",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","7","Cerebral palsy (CP) is the most common disability in childhood affecting movement, posture and muscle tone. Increasing self-efficacy can aid to foster therapy compliance in CP patients and improve their quality of daily life. Semistructured interviews (N=19) with therapists, children and adults with CP were conducted in order to gather information on how to increase self-efficacy and therapy compliance during physical exercises, and how game design of a digital therapy application can support this. Results have been evaluated in a focus group (N=6) and additional interviews (N=2). In conclusion, six categories were identified, that influence therapy compliance and self-efficacy in both digital and real world environment. Considering these when designing a digital game for CP patients may enhance the success of therapy and quality of a patient's life.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201773","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201773","digital games;game design;infantile cerebral palsy;therapy compliance;self-efficacy","Games;Medical treatment;Interviews;Pediatrics;Muscles;Task analysis","","2","","35","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"recoverApp - A mobile health solution to support people in stationary rehabilitation","C. Aigner; M. Eder; R. Baranyi; T. Grechenig","Research Group For Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group For Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group For Industrial Software, Vienna University of Technology, Vienna, Austria; Research Group For Industrial Software, Vienna University of Technology, Vienna, Austria",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","6","Prolonged stays in hospitals or rehabilitation facilities can have negative psychological and physical effects on patients. Possible symptoms patients are suffering from are depression, reduced cognitive performance, feelings of loneliness, anger and aggressive behavior. Aforementioned issues can affect the general healing process of medical conditions the patient was hospitalized for in the first place. The authors are therefore proposing a concept for a mHealth solution entitled “recover-App”, especially designed for supporting people in stationary rehabilitation. Its core features are intended to support patients overcome certain psychological problems that occur during prolonged periods of recovery by using concepts and interventions of cognitive behavioral therapy (CBT). “recoverApp” was designed based on a comprehensive state-of-the-art analysis and incorporated feedback from therapists to further refine it's main features. These include functions to track the patients mood, tasks, challenges and skills. It also provides the patient with a diary and an instant messaging feature to directly contact the treating therapist. The patient receives skill points by completing challenges and tasks or by simply entering diary entries. This gamification approach is used to enhance the engagement and acceptance of the mobile application.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201839","rehabilitation;mHealth;behavior change;mental health apps;gamification","Mood;Medical treatment;Task analysis;Software;Prototypes;Reconstruction algorithms","","","","20","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"ClothFace: Battery-Free User Interface Solution Embedded into Clothing and Everyday Surroundings","A. Mehmood; H. He; X. Chen; A. Vianto; O. Buruk; J. Virkki","Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Medicine and Health Technology, Tampere University, Tampere, Finland",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","5","This paper introduces ClothFace, a passive ultrahigh frequency (UHF) radio frequency identification (RFID) -based user interface solution, which can be embedded into clothing and into our everyday surroundings. The user interface platform consists of RFID tags, each of which has a unique ID. All the tags are initially readable to an external RFID reader. A specific tag can be switched off by covering it with a hand, which change can then be used as a digital input to any connected device. Because of the used passive UHF RFID technology, there is no need for embedded energy sources, but the interface platform gets all the needed energy from the external RFID reader. In this study, two test setups were created to an office environment: For the Body Test, the interface was integrated into a cotton shirt and into an item. For the Table Test, the interface was integrated into a wooden table. A gamelike testing software was created for both setups and two male test subjects tested the platform. The achieved results were very promising: success rates of 99-100 % and 94-98 % were reached in the Body Test and in the Table Test, respectively. Based on these promising preliminary results, we can envision the employment of ClothFace for developing multi-modal interfaces that can provide on-body gestural controls in body-based serious game applications.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201771","gestural control;passive UHF RFID;textile electronics;user interface;wearables","Antennas;Testing;Software;User interfaces;Integrated circuits;RFID tags","","5","","29","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"Simulating Illness: Experiencing Visual Migraine Impairments in Virtual Reality","S. Misztal; G. Carbonell; L. Zander; J. Schild","Interactive Reality Experiences, Hannover University of Applied Sciences and Arts; Interactive Reality Experiences, Hannover University of Applied Sciences and Arts; Leibniz University Hannover; Interactive Reality Experiences, Hannover University of Applied Sciences and Arts",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","8","Combining virtual reality (VR) and serious games has shown high potential to raise understanding for patients and how symptoms might impact their well-being. To investigate migraine symptoms, we developed a visual migraine simulation in a virtual environment (VE) using a VR head-mounted display (HMD). For the migraine visualization we developed a migraine aura combined with an overexposure effect. We conducted a user study (N = 32) in a within-subject design with two conditions: (1) taking the perspective of a migraine patient and only imagining to suffer from migraine, (2) experiencing migraine by additionally being exposed to a migraine visualization. Participants answered questionnaires measuring their empathic reaction towards migraine patients and their experienced presence. Results yield that participants showed a significantly and notably higher empathic reaction and a slightly stronger sense of presence when visually experiencing migraine symptoms, compared to only imagining to suffer from migraine.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201756","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201756","virtual reality;empirical studies in HCI;migraine simulation;empathy;presence;perception of illness","Visualization;Games;Diseases;Visual effects;Resists;Training","","5","","76","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"The Use of Agent-Based Models As Non-Player Characters in Serious Games","D. Babichenko; P. Healy; M. Gomez; S. Kane-Gill; E. B. Littleton; P. Brusilovsky; P. Cohen; R. Patel","School of Computing and Information, University of Pittsburgh, Pittsburgh, PA; School of Computing and Information, University of Pittsburgh, Pittsburgh, PA; School of Computing and Information, University of Pittsburgh, Pittsburgh, PA; School of Pharmacy, University of Pittsburgh, Pittsburgh, PA; Department of Surgery, School of Medicine, University of Pittsburgh, Pittsburgh, PA; School of Computing and Information, University of Pittsburgh, Pittsburgh, PA; School of Computing and Information, University of Pittsburgh, Pittsburgh, PA; School of Pharmacy, University of Pittsburgh, Pittsburgh, PA",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","8","One of the shortcomings of many modern serious games and medical simulations lies in their inability to model even some modicum of unpredictability of real life situations. Interactions with a standardized patient may teach healthcare professional students how to diagnose a clinical condition, better manage a patient, or help them improve their bedside manners, but such simulated interactions will not prepare the learners to deal with unpredictability of clinical situations, interruption, and task switching. Distractions occur from colleagues, clinical decision support alerts, pagers, smartphones, or audible alarms. All these interruptions can potentially alter the course of patient care and the outcome of a patient's treatment. A simulated virtual patient (VP) may teach critical thinking skills, but once a student has successfully diagnosed a VP, the simulation stops providing educational value. In this paper we propose a generalizable method for integrating agent-based models into serious games and simulations. In the proposed paradigm, a human player (learner) takes on the role of a single agent in the model (e.g, a healthcare professional), while the output of the model controls the environment, the rules of agent interactions, and all the other agents that the human player interacts with (non-player characters). Moreover, we will present two use cases demonstrating that the use of agent-based models as behavior controllers for non-player characters introduces a degree of unpredictability in a virtual patient simulation and in a serious game designed to teach middle and high-school students about the spread of infectious diseases.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201889","virtual patients;simulations;serious games;non-player characters;agent-based models","Games;Medical services;Artificial intelligence;Task analysis;Computational modeling;Switches;Biological neural networks","","1","","64","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"OntoJogo: An Ontology for Game Classification","S. Teixeira; R. V. Boas; F. Oliveira; C. Araújo; P. R. Henriques","Centro ALGORITMI, Universidade do Minho, Braga, Portugal; Centro ALGORITMI, Universidade do Minho, Braga, Portugal; Centro ALGORITMI, Universidade do Minho, Braga, Portugal; Centro ALGORITMI, Universidade do Minho, Braga, Portugal; Centro ALGORITMI, Universidade do Minho, Braga, Portugal",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","8","Games are no longer just an entertainment activity. Various games are being adopted in different fields, such as psychology, education, and healthcare. Their usage requires professionals to be capable of categorizing games to take the most advantage out of them. Therefore, we argue that a uniform classification for games can facilitate and improve the work on numerous investigations that focus on the usage of games. Along with research work on the matter, in this paper, we present an ontology, OntoJogo, for the classification of games according to different perspectives or categorization axes. In the paper, OntoJogo is described in detail (classes and relations are explained), and examples of use are shown.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201876","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201876","Ontology;Game;Game Types;Game Studies","Games;Ontologies;Training;Adaptation models;Psychology","","5","","23","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"Towards a new hybrid game model: designing tangible experiences","A. P. Oliveira; M. Sousa; M. Vairinhos; N. Zagalo","Department of Communication and Art University of Aveiro, Digimedia, Aveiro, Portugal; Department of Civil Engeneering, CITTA, University of Coimbra, Coimbra, Portugal; Department of Communication and Art University of Aveiro, Digimedia, Aveiro, Portugal; Department of Communication and Art University of Aveiro, Digimedia, Aveiro, Portugal",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","6","In this paper we intend to present a theoretical discussion on the definition and specificity of hybrid games and tangible experiences, grounded in the research project “FlavourGame”. The project is developing a serious game for kids aged 10-12 years old to generate discussion and sense-making around nutrition, more specifically everyday choices of nourishment and food. We believe hybrid games are presenting themselves as a new realm of gaming, opening new possibilities, making use of the best of both worlds - physical and virtual. Therefore, we are now working in the creation of a hybrid game model (combining the digital component based on a TUI - tangible user interface with a physical board game). FlavourGame aims to become a game design model for platforms mixing real, fictional and digital worlds merged through physical interactions and rich sensory experiences, unusual in videogames. We intend to present some of the ideas we have been brainstorming and drafting, built on past experiences, in order to design a research path in the direction of the development of a hybrid game model based on embodied conversation and player participation.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201838","hybrid game;board game;digital game;game experience;tangible user interface","Games;Faces;Art;User interfaces;Digital communication;Computational modeling;Pediatrics","","9","","62","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"Emotion Recognition Techniques for Geriatric Users: A Snapshot","F. Mughal; W. Raffe; J. Garcia","Faculty of Engineering and IT, University of Technology Sydney, Sydney, Australia; Faculty of Engineering and IT, University of Technology Sydney, Sydney, Australia; Faculty of Engineering and IT, University of Technology Sydney, Sydney, Australia",2020 IEEE 8th International Conference on Serious Games and Applications for Health (SeGAH),"22 Sep 2020","2020","","","1","8","Several elderly people prefer their independence, however due to cognitive impairment or other age-related ailments they cannot necessarily be left on their own. In order to aid the elderly in living independently, we consider the use of emotion recognition as a relatively autonomous monitoring approach for geriatric people. An analysis and comparison among various emotion recognition studies has shown that close to none of these studies have taken age related cognitive decline into account, which comes with various issues. The aim of this paper is to provide an overview of current emotion recognition techniques and why they may not necessarily be suitable or feasible for geriatric people. This analysis serves as a foundation for a proposed conceptual framework toward an autonomous monitoring system for geriatric people which could minimize the need for explicit user input or interaction while still monitoring the geriatric person(s) well-being.","2573-3060","978-1-7281-9042-6","10.1109/SeGAH49190.2020.9201749","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201749","geriatric;elderly;emotion recognition;smart devices;facial expression recognition;gait recognition","Emotion recognition;Geriatrics;Senior citizens;Monitoring;Sensors;Physiology;Face recognition","","3","","35","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
